fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220531 000133	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	15	TRUE	111599	0.264896306335754	0.201927317265546	2513	111	0.0307442566420367	10804000	130
20220531 000143	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	24	TRUE	111599	0.202486111015376	0.778502104230307	4002	1023	0.0141951937627208	12840000	131
20220531 000302	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	533	TRUE	111599	0.0166831176347248	0.464899696735002	7659	857	0.0145632996500183	13076000	132
20220531 000417	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	427	TRUE	111599	0.0117255820377022	0.986040592617183	3045	437	0.00972902691162528	12488000	133
20220531 000442	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	193	TRUE	111599	0.0311691149800937	0.845624486980113	7999	365	0.0101358715263242	12509000	134
20220531 000544	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	532	TRUE	111599	0.0102422829146322	0.997881882529392	7998	106	0.0263693666668781	11919000	135
20220531 000554	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	33	TRUE	111599	0.12318335131606	0.913081114373087	7996	976	0.0175236945946441	12991000	136
20220531 000628	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	137	TRUE	111599	0.0308165534756403	0.526397444048795	7081	372	0.0203158061140613	12588000	137
20220531 000642	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	69	TRUE	111599	0.0839492352423751	0.794278664797754	8000	688	0.0140951475871294	12771000	138
20220531 000650	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	16	TRUE	111599	0.207688578943378	0.999279551741066	2616	17	0.014884868584481	12531000	139
20220531 000658	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	41	TRUE	111599	0.298307732776488	0.999781249569294	7996	1013	0.00837652097433499	11179000	140
20220531 000832	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	673	TRUE	111599	0.0111498192627179	0.326324583326925	7999	81	0.0132266716729885	13111000	141
20220531 000841	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	27	TRUE	111599	0.260035682948354	0.999791930797724	7502	1024	0.026488854799639	11491000	142
20220531 001006	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	474	TRUE	111599	0.0107948719590558	0.388564424469291	6601	374	0.017361638962885	13654000	143
20220531 001122	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	363	TRUE	111599	0.0109832783073419	0.558608089524727	7999	289	0.0171270849519524	13044000	144
